secs,&nbsp;4 12:28+1&gt;1,&nbsp;4 12:34+2&gt;2,&nbsp;4 14:24+6&gt;2,&nbsp;4 17:43+0&gt;2,&nbsp;9c+ 18:19+0&gt;13,&nbsp;9c+ 18:20+0&gt;24,&nbsp;9a 18:23+26&gt;26
702.5,NaN,0.55,0.93,NaN,NaN,NaN,3.15
703,NaN,0.53,0.97,NaN,NaN,NaN,3.15
703.5,NaN,0.52,0.99,NaN,NaN,NaN,3.15
704,NaN,0.49,1.07,NaN,NaN,NaN,3.14
704.5,NaN,0.46,1.15,NaN,NaN,NaN,3.14
705,NaN,0.42,1.24,NaN,NaN,NaN,3.15
705.5,NaN,0.39,1.37,NaN,NaN,NaN,3.15
706,NaN,0.37,1.42,NaN,NaN,NaN,3.16
706.5,NaN,0.38,1.50,NaN,NaN,NaN,3.15
707,NaN,0.42,1.58,NaN,NaN,NaN,3.16
707.5,NaN,0.44,1.58,NaN,NaN,NaN,3.16
708,NaN,0.49,1.62,NaN,NaN,NaN,3.16
708.5,NaN,0.51,1.71,NaN,NaN,NaN,3.17
709,NaN,0.51,1.78,NaN,NaN,NaN,3.19
709.5,NaN,0.51,1.88,NaN,NaN,NaN,3.18
710,NaN,0.53,1.95,NaN,NaN,NaN,3.20
710.5,NaN,0.56,2.03,NaN,NaN,NaN,3.21
711,NaN,0.58,2.08,NaN,NaN,NaN,3.20
711.5,NaN,0.59,2.12,NaN,NaN,NaN,3.18
712,NaN,0.61,2.09,NaN,NaN,NaN,3.17
712.5,NaN,0.62,2.08,NaN,NaN,NaN,3.16
713,NaN,0.61,2.08,NaN,NaN,NaN,3.15
713.5,NaN,0.61,2.07,NaN,NaN,NaN,3.15
714,NaN,0.61,2.04,NaN,NaN,NaN,3.15
714.5,NaN,0.59,2.03,NaN,NaN,NaN,3.15
715,NaN,0.57,1.98,NaN,NaN,NaN,3.14
715.5,NaN,0.55,1.92,NaN,NaN,NaN,3.14
716,NaN,0.54,1.87,NaN,NaN,NaN,3.14
716.5,NaN,0.50,1.88,NaN,NaN,NaN,3.15
717,NaN,0.42,1.88,NaN,NaN,NaN,3.14
717.5,NaN,0.39,1.89,NaN,NaN,NaN,3.14
718,NaN,0.36,1.91,NaN,NaN,NaN,3.14
718.5,NaN,0.36,1.90,NaN,NaN,NaN,3.14
719,NaN,0.34,1.90,NaN,NaN,NaN,3.14
719.5,NaN,0.33,1.90,NaN,NaN,NaN,3.14
720,NaN,0.31,1.88,NaN,NaN,NaN,3.13
720.5,NaN,0.30,1.85,NaN,NaN,NaN,3.14
721,NaN,0.31,1.83,NaN,NaN,NaN,3.14
721.5,NaN,0.30,1.81,NaN,NaN,NaN,3.13
722,NaN,0.29,1.78,NaN,NaN,NaN,3.13
722.5,NaN,0.29,1.76,NaN,NaN,NaN,3.13
723,NaN,0.28,1.74,NaN,NaN,NaN,3.13
723.5,NaN,0.29,1.71,NaN,NaN,NaN,3.12
724,NaN,0.28,1.69,NaN,NaN,NaN,3.12
724.5,NaN,0.26,1.67,NaN,NaN,NaN,3.13
725,NaN,0.24,1.63,NaN,NaN,NaN,3.11
725.5,NaN,0.24,1.62,NaN,NaN,NaN,3.13
726,NaN,0.21,1.61,NaN,NaN,NaN,3.12
726.5,NaN,0.18,1.58,NaN,NaN,NaN,3.12
727,NaN,0.14,1.54,NaN,NaN,NaN,3.10
727.5,NaN,0.11,1.49,NaN,NaN,NaN,3.08
728,NaN,0.08,1.44,NaN,NaN,NaN,3.07
728.5,NaN,0.06,1.39,NaN,NaN,NaN,3.05
729,NaN,0.05,1.36,NaN,NaN,NaN,3.04
729.5,NaN,0.08,1.33,NaN,NaN,NaN,3.04
730,NaN,0.10,1.29,NaN,NaN,NaN,3.04
730.5,NaN,0.10,1.25,NaN,NaN,NaN,3.03
731,NaN,0.09,1.20,NaN,NaN,NaN,3.03
731.5,NaN,0.11,1.14,NaN,NaN,NaN,3.03
732,NaN,0.14,1.14,NaN,NaN,NaN,3.03
732.5,NaN,0.18,1.07,NaN,NaN,NaN,3.05
733,NaN,0.17,1.03,NaN,NaN,NaN,3.04
733.5,NaN,0.17,0.98,NaN,NaN,NaN,3.06
734,NaN,0.17,0.93,NaN,NaN,NaN,3.07
734.5,NaN,0.13,0.92,NaN,NaN,NaN,3.07
735,NaN,0.10,0.89,NaN,NaN,NaN,3.07
735.5,NaN,0.10,0.86,NaN,NaN,NaN,3.07
736,NaN,0.05,0.83,NaN,NaN,NaN,3.10
736.5,NaN,0.01,0.80,NaN,NaN,NaN,3.13
737,NaN,NaN,0.78,NaN,NaN,NaN,3.15
737.5,NaN,NaN,0.75,NaN,NaN,NaN,3.15
738,NaN,NaN,0.71,NaN,NaN,NaN,3.17
738.5,NaN,NaN,0.68,NaN,NaN,NaN,3.20
739,NaN,NaN,0.68,NaN,NaN,NaN,3.21
739.5,NaN,NaN,0.68,NaN,NaN,NaN,3.20
740,NaN,NaN,0.69,NaN,NaN,NaN,3.21
740.5,NaN,NaN,0.72,NaN,NaN,NaN,3.22
741,NaN,NaN,0.76,NaN,NaN,NaN,3.23
741.5,NaN,NaN,0.81,NaN,NaN,NaN,3.24
742,NaN,NaN,0.83,NaN,NaN,NaN,3.24
742.5,NaN,NaN,0.86,NaN,NaN,NaN,3.24
743,NaN,NaN,0.91,NaN,NaN,NaN,3.25
743.5,NaN,NaN,0.94,NaN,NaN,NaN,3.26
744,NaN,NaN,0.95,NaN,NaN,NaN,3.26
744.5,NaN,NaN,0.96,NaN,NaN,NaN,3.27
745,NaN,NaN,0.99,NaN,NaN,NaN,3.25
745.5,NaN,NaN,1.01,NaN,NaN,NaN,3.26
746,NaN,NaN,1.07,NaN,NaN,NaN,3.24
746.5,NaN,NaN,1.10,NaN,NaN,NaN,3.25
747,NaN,NaN,1.12,NaN,NaN,NaN,3.24
747.5,NaN,NaN,1.18,NaN,NaN,NaN,3.24
748,NaN,NaN,1.24,NaN,NaN,NaN,3.24
748.5,NaN,NaN,1.30,NaN,NaN,NaN,3.23
749,NaN,NaN,1.37,NaN,NaN,NaN,3.22
749.5,NaN,NaN,1.41,NaN,NaN,NaN,3.22
750,NaN,NaN,1.52,NaN,NaN,NaN,3.21
750.5,NaN,NaN,1.58,NaN,NaN,NaN,3.19
751,NaN,NaN,1.63,NaN,NaN,NaN,3.19
751.5,NaN,NaN,1.63,NaN,NaN,NaN,3.20
752,NaN,NaN,1.66,NaN,NaN,NaN,3.19
752.5,NaN,NaN,1.65,NaN,NaN,NaN,3.20
753,NaN,NaN,1.64,NaN,NaN,NaN,3.20
753.5,NaN,NaN,1.65,NaN,NaN,NaN,3.19
754,NaN,NaN,1.66,NaN,NaN,NaN,3.19
754.5,NaN,NaN,1.66,NaN,NaN,NaN,3.18
755,NaN,NaN,1.66,NaN,NaN,NaN,3.18
755.5,NaN,NaN,1.68,NaN,NaN,NaN,3.16
756,NaN,NaN,1.69,NaN,NaN,NaN,3.15
756.5,NaN,NaN,1.68,NaN,NaN,NaN,3.15
757,NaN,NaN,1.68,NaN,NaN,NaN,3.16
757.5,NaN,NaN,1.67,NaN,NaN,NaN,3.14
758,NaN,NaN,1.66,NaN,NaN,NaN,3.16
758.5,NaN,NaN,1.66,NaN,NaN,NaN,3.18
759,NaN,NaN,1.64,NaN,NaN,NaN,3.19
759.5,NaN,NaN,1.63,NaN,NaN,NaN,3.18
760,NaN,0.03,1.61,NaN,NaN,NaN,3.19
760.5,NaN,0.07,1.59,NaN,NaN,NaN,3.19
761,NaN,0.20,1.55,NaN,NaN,NaN,3.17
761.5,NaN,0.28,1.51,NaN,NaN,NaN,3.19
762,NaN,0.38,1.48,NaN,NaN,NaN,3.18
762.5,NaN,0.45,1.44,NaN,NaN,NaN,3.19
763,NaN,0.48,1.40,NaN,NaN,NaN,3.19
763.5,NaN,0.53,1.39,NaN,NaN,NaN,3.22
764,NaN,0.58,1.31,NaN,NaN,NaN,3.21
764.5,NaN,0.60,1.29,NaN,NaN,NaN,3.20
765,NaN,0.66,1.24,NaN,NaN,NaN,3.22
765.5,NaN,0.69,1.22,NaN,NaN,NaN,3.19
766,NaN,0.76,1.19,NaN,NaN,NaN,3.18
766.5,NaN,0.82,1.14,NaN,NaN,NaN,3.18
767,NaN,0.86,1.11,NaN,NaN,NaN,3.17
767.5,NaN,0.88,1.02,NaN,NaN,NaN,3.21
768,NaN,0.91,0.93,NaN,NaN,NaN,3.19
768.5,NaN,0.91,0.85,NaN,NaN,NaN,3.19
769,NaN,0.91,0.81,NaN,NaN,NaN,3.18
769.5,NaN,0.94,0.74,NaN,NaN,NaN,3.20
770,NaN,0.96,0.70,NaN,NaN,NaN,3.20
770.5,NaN,0.95,0.65,NaN,NaN,NaN,3.17
771,NaN,0.94,0.59,NaN,NaN,NaN,3.16
771.5,NaN,0.93,0.57,NaN,NaN,NaN,3.15
772,NaN,0.93,0.54,NaN,NaN,NaN,3.13
772.5,NaN,0.90,0.49,NaN,NaN,NaN,3.13
773,NaN,0.90,0.44,NaN,NaN,NaN,3.12
773.5,NaN,0.89,0.39,NaN,NaN,NaN,3.08
774,NaN,0.87,0.37,NaN,NaN,NaN,3.08
774.5,NaN,0.82,0.37,NaN,NaN,NaN,3.08
775,NaN,0.79,0.37,NaN,NaN,NaN,3.10
775.5,NaN,0.77,0.39,NaN,NaN,NaN,3.09
776,NaN,0.72,0.41,NaN,NaN,NaN,3.08
776.5,NaN,0.69,0.43,NaN,NaN,NaN,3.08
777,NaN,0.67,0.47,NaN,NaN,NaN,3.08
777.5,NaN,0.62,0.48,NaN,NaN,NaN,3.07
778,NaN,0.59,0.49,NaN,NaN,NaN,3.07
778.5,NaN,0.53,0.52,NaN,NaN,NaN,3.05
779,NaN,0.48,0.53,NaN,NaN,NaN,3.05
779.5,NaN,0.45,0.54,NaN,NaN,NaN,3.06
780,NaN,0.41,0.55,NaN,NaN,NaN,3.10
780.5,NaN,0.39,0.55,NaN,NaN,NaN,3.11
781,NaN,0.33,0.52,NaN,NaN,NaN,3.12
781.5,NaN,0.29,0.54,NaN,NaN,NaN,3.12
782,NaN,0.27,0.55,NaN,NaN,NaN,3.12
782.5,NaN,0.25,0.60,NaN,NaN,NaN,3.16
783,NaN,0.25,0.65,NaN,NaN,NaN,3.18
783.5,NaN,0.24,0.73,NaN,NaN,NaN,3.19
784,NaN,0.24,0.77,NaN,NaN,NaN,3.19
784.5,NaN,0.29,0.80,NaN,NaN,NaN,3.19
785,NaN,0.30,0.85,NaN,NaN,NaN,3.20
785.5,NaN,0.32,0.88,NaN,NaN,NaN,3.22
786,NaN,0.33,0.89,NaN,NaN,NaN,3.25
786.5,NaN,0.35,0.90,NaN,NaN,NaN,3.25
787,NaN,0.36,0.93,NaN,NaN,NaN,3.25
787.5,NaN,0.35,0.96,NaN,NaN,NaN,3.26
788,NaN,0.37,0.97,NaN,NaN,NaN,3.26
788.5,NaN,0.36,0.99,NaN,NaN,NaN,3.28
789,NaN,0.37,0.99,NaN,NaN,NaN,3.29
789.5,NaN,0.39,1.04,NaN,NaN,NaN,3.30
790,NaN,0.40,1.09,NaN,NaN,NaN,3.31
790.5,NaN,0.42,1.13,NaN,NaN,NaN,3.30
791,NaN,0.47,1.21,NaN,NaN,NaN,3.28
791.5,NaN,0.46,1.23,NaN,NaN,NaN,3.27
792,NaN,0.42,1.30,NaN,NaN,NaN,3.27
792.5,NaN,0.41,1.36,NaN,NaN,NaN,3.27
793,NaN,0.36,1.37,NaN,NaN,NaN,3.27
793.5,NaN,0.31,1.37,NaN,NaN,NaN,3.26
794,NaN,0.28,1.38,NaN,NaN,NaN,3.26
794.5,NaN,0.22,1.39,NaN,NaN,NaN,3.25
795,NaN,0.18,1.39,NaN,NaN,NaN,3.25
795.5,NaN,0.11,1.41,NaN,NaN,NaN,3.26
796,NaN,0.07,1.42,NaN,NaN,NaN,3.24
796.5,NaN,0.02,1.43,NaN,NaN,NaN,3.23
797,NaN,NaN,1.45,NaN,NaN,NaN,3.24
797.5,NaN,NaN,1.46,NaN,NaN,NaN,3.24
798,NaN,NaN,1.45,NaN,NaN,NaN,3.25
798.5,NaN,NaN,1.46,NaN,NaN,NaN,3.26
799,NaN,NaN,1.45,NaN,NaN,NaN,3.27
799.5,NaN,NaN,1.43,NaN,NaN,NaN,3.26
800,NaN,NaN,1.43,NaN,NaN,NaN,3.26
800.5,NaN,NaN,1.41,NaN,NaN,NaN,3.24
801,NaN,-0.00,1.37,NaN,NaN,NaN,3.23
801.5,NaN,0.02,1.37,NaN,NaN,NaN,3.22
802,NaN,0.04,1.36,NaN,NaN,NaN,3.21
802.5,NaN,0.05,1.36,NaN,NaN,NaN,3.19
803,NaN,0.06,1.35,NaN,NaN,NaN,3.17
803.5,NaN,0.07,1.36,NaN,NaN,NaN,3.18
804,NaN,0.05,1.36,NaN,NaN,NaN,3.16
804.5,NaN,0.01,1.36,NaN,NaN,NaN,3.16
805,NaN,NaN,1.35,NaN,NaN,NaN,3.17
805.5,NaN,NaN,1.36,NaN,NaN,NaN,3.18
806,NaN,NaN,1.39,NaN,NaN,NaN,3.18
806.5,NaN,NaN,1.41,NaN,NaN,NaN,3.18
807,NaN,NaN,1.43,NaN,NaN,NaN,3.18
807.5,NaN,NaN,1.46,NaN,NaN,NaN,3.17
808,NaN,NaN,1.47,NaN,NaN,NaN,3.18
808.5,NaN,NaN,1.46,NaN,NaN,NaN,3.18
809,NaN,NaN,1.46,NaN,NaN,NaN,3.17
809.5,NaN,NaN,1.42,NaN,NaN,NaN,3.17
810,NaN,NaN,1.39,NaN,NaN,NaN,3.17
810.5,NaN,0.02,1.35,NaN,NaN,NaN,3.16
811,NaN,0.07,1.31,NaN,NaN,NaN,3.15
811.5,NaN,0.15,1.29,NaN,NaN,NaN,3.13
812,NaN,0.23,1.25,NaN,NaN,NaN,3.13
812.5,NaN,0.26,1.22,NaN,NaN,NaN,3.13
813,NaN,0.30,1.21,NaN,NaN,NaN,3.13
813.5,NaN,0.35,1.17,NaN,NaN,NaN,3.12
814,NaN,0.39,1.17,NaN,NaN,NaN,3.13
814.5,NaN,0.45,1.16,NaN,NaN,NaN,3.13
815,NaN,0.48,1.17,NaN,NaN,NaN,3.11
815.5,NaN,0.53,1.21,NaN,NaN,NaN,3.12
816,NaN,0.52,1.26,NaN,NaN,NaN,3.12
816.5,NaN,0.49,1.29,NaN,NaN,NaN,3.14
817,NaN,0.47,1.35,NaN,NaN,NaN,3.14
817.5,NaN,0.47,1.39,NaN,NaN,NaN,3.13
818,NaN,0.47,1.43,NaN,NaN,NaN,3.13
818.5,NaN,0.42,1.50,NaN,NaN,NaN,3.13
819,NaN,0.39,1.53,NaN,NaN,NaN,3.14
819.5,NaN,0.37,1.59,NaN,NaN,NaN,3.15
820,NaN,0.38,1.63,NaN,NaN,NaN,3.13
820.5,NaN,0.40,1.67,NaN,NaN,NaN,3.15
821,NaN,0.43,1.66,NaN,NaN,NaN,3.15
821.5,NaN,0.43,1.65,NaN,NaN,NaN,3.16
822,NaN,0.42,1.65,NaN,NaN,NaN,3.19
822.5,NaN,0.43,1.64,NaN,NaN,NaN,3.20
823,NaN,0.40,1.62,NaN,NaN,NaN,3.20
823.5,NaN,0.40,1.61,NaN,NaN,NaN,3.20
824,NaN,0.42,1.60,NaN,NaN,NaN,3.20
824.5,NaN,0.45,1.58,NaN,NaN,NaN,3.21
825,NaN,0.48,1.52,NaN,NaN,NaN,3.23
825.5,NaN,0.46,1.45,NaN,NaN,NaN,3.24
826,NaN,0.40,1.38,NaN,NaN,NaN,3.24
826.5,NaN,0.37,1.36,NaN,NaN,NaN,3.23
827,NaN,0.32,1.32,NaN,NaN,NaN,3.24
827.5,NaN,0.30,1.29,NaN,NaN,NaN,3.26
828,NaN,0.24,1.26,NaN,NaN,NaN,3.28
828.5,NaN,0.18,1.23,NaN,NaN,NaN,3.27
829,NaN,0.10,1.20,NaN,NaN,NaN,3.28
829.5,NaN,0.05,1.18,NaN,NaN,NaN,3.29
830,NaN,0.03,1.16,NaN,NaN,NaN,3.29
830.5,NaN,NaN,1.14,NaN,NaN,NaN,3.32
831,NaN,NaN,1.12,NaN,NaN,NaN,3.32
831.5,NaN,NaN,1.13,NaN,NaN,NaN,3.30
832,NaN,NaN,1.11,NaN,NaN,NaN,3.30
832.5,NaN,NaN,1.07,NaN,NaN,NaN,3.29
833,NaN,NaN,1.02,NaN,NaN,NaN,3.29
833.5,NaN,NaN,1.00,NaN,NaN,NaN,3.28
834,NaN,NaN,0.98,NaN,NaN,NaN,3.29
834.5,NaN,NaN,0.96,NaN,NaN,NaN,3.29
835,NaN,NaN,0.91,NaN,NaN,NaN,3.29
835.5,NaN,NaN,0.89,NaN,NaN,NaN,3.27
836,NaN,NaN,0.87,NaN,NaN,NaN,3.27
836.5,NaN,NaN,0.84,NaN,NaN,NaN,3.25
837,NaN,NaN,0.79,NaN,NaN,NaN,3.25
837.5,NaN,NaN,0.73,NaN,NaN,NaN,3.23
838,NaN,NaN,0.67,NaN,NaN,NaN,3.22
838.5,NaN,NaN,0.63,NaN,NaN,NaN,3.21
839,NaN,NaN,0.60,NaN,NaN,NaN,3.23
839.5,NaN,NaN,0.57,NaN,NaN,NaN,3.22
840,NaN,NaN,0.56,NaN,NaN,NaN,3.22
840.5,NaN,NaN,0.57,NaN,NaN,NaN,3.21
841,NaN,NaN,0.62,NaN,NaN,NaN,3.21
841.5,NaN,NaN,0.65,NaN,NaN,NaN,3.21
842,NaN,NaN,0.71,NaN,NaN,NaN,3.21
842.5,NaN,NaN,0.80,NaN,NaN,NaN,3.21
843,NaN,NaN,0.86,NaN,NaN,NaN,3.23
843.5,NaN,NaN,0.90,NaN,NaN,NaN,3.23
844,NaN,NaN,0.96,NaN,NaN,NaN,3.23
844.5,NaN,NaN,1.03,NaN,NaN,NaN,3.22
845,NaN,NaN,1.08,NaN,NaN,NaN,3.22
845.5,NaN,NaN,1.10,NaN,NaN,NaN,3.24
846,NaN,NaN,1.12,NaN,NaN,NaN,3.23
846.5,NaN,NaN,1.12,NaN,NaN,NaN,3.23
847,NaN,0.03,1.11,NaN,NaN,NaN,3.24
847.5,NaN,0.08,1.12,NaN,NaN,NaN,3.24
848,NaN,0.13,1.09,NaN,NaN,NaN,3.25
848.5,NaN,0.14,1.09,NaN,NaN,NaN,3.25
849,NaN,0.13,1.08,NaN,NaN,NaN,3.24
849.5,NaN,0.13,1.12,NaN,NaN,NaN,3.23
850,NaN,0.10,1.16,NaN,NaN,NaN,3.23
850.5,NaN,0.07,1.21,NaN,NaN,NaN,3.25
851,NaN,0.06,1.23,NaN,NaN,NaN,3.24
851.5,NaN,0.04,1.28,NaN,NaN,NaN,3.22
852,NaN,0.01,1.33,NaN,NaN,NaN,3.22
852.5,NaN,NaN,1.36,NaN,NaN,NaN,3.21
853,NaN,NaN,1.40,NaN,NaN,NaN,3.20
853.5,NaN,NaN,1.42,NaN,NaN,NaN,3.19
854,NaN,NaN,1.46,NaN,NaN,NaN,3.20
854.5,NaN,NaN,1.46,NaN,NaN,NaN,3.19
855,NaN,NaN,1.45,NaN,NaN,NaN,3.18
855.5,NaN,NaN,1.46,NaN,NaN,NaN,3.16
856,NaN,NaN,1.47,NaN,NaN,NaN,3.16
856.5,NaN,NaN,1.47,NaN,NaN,NaN,3.14
857,NaN,NaN,1.45,NaN,NaN,NaN,3.13
857.5,NaN,NaN,1.42,NaN,NaN,NaN,3.14
858,NaN,NaN,1.39,NaN,NaN,NaN,3.13
858.5,NaN,NaN,1.38,NaN,NaN,NaN,3.13
859,NaN,NaN,1.38,NaN,NaN,NaN,3.12
859.5,NaN,NaN,1.36,NaN,NaN,NaN,3.12
860,NaN,NaN,1.30,NaN,NaN,NaN,3.10
860.5,NaN,0.00,1.26,NaN,NaN,NaN,3.06
861,NaN,0.04,1.22,NaN,NaN,NaN,3.07
861.5,NaN,0.07,1.16,NaN,NaN,NaN,3.08
862,NaN,0.10,1.09,NaN,NaN,NaN,3.06
862.5,NaN,0.11,1.02,NaN,NaN,NaN,3.04
863,NaN,0.11,0.94,NaN,NaN,NaN,3.03
863.5,NaN,0.13,0.91,NaN,NaN,NaN,3.03
864,NaN,0.13,0.86,NaN,NaN,NaN,3.02
864.5,NaN,0.13,0.85,NaN,NaN,NaN,3.03
865,NaN,0.12,0.88,NaN,NaN,NaN,3.01
865.5,NaN,0.09,0.88,NaN,NaN,NaN,3.01
866,NaN,0.06,0.89,NaN,NaN,NaN,3.02
866.5,NaN,0.04,0.91,NaN,NaN,NaN,3.01
867,NaN,0.01,0.92,NaN,NaN,NaN,3.02
867.5,NaN,0.00,0.92,NaN,NaN,NaN,3.05
868,NaN,NaN,0.92,NaN,NaN,NaN,3.07
868.5,NaN,NaN,0.91,NaN,NaN,NaN,3.07
869,NaN,NaN,0.92,NaN,NaN,NaN,3.09
869.5,NaN,NaN,0.92,NaN,NaN,NaN,3.10
870,NaN,NaN,0.92,NaN,NaN,NaN,3.09
870.5,NaN,NaN,0.95,NaN,NaN,NaN,3.09
871,NaN,NaN,0.96,NaN,NaN,NaN,3.11
871.5,NaN,NaN,0.95,NaN,NaN,NaN,3.11
872,NaN,-0.00,0.94,NaN,NaN,NaN,3.13
872.5,NaN,0.02,0.95,NaN,NaN,NaN,3.14
873,NaN,0.05,0.99,NaN,NaN,NaN,3.14
873.5,NaN,0.09,0.99,NaN,NaN,NaN,3.15
874,NaN,0.10,1.01,NaN,NaN,NaN,3.14
874.5,NaN,0.10,1.03,NaN,NaN,NaN,3.16
875,NaN,0.08,1.03,NaN,NaN,NaN,3.16
875.5,NaN,0.08,1.05,NaN,NaN,NaN,3.17
876,NaN,0.07,1.05,NaN,NaN,NaN,3.19
876.5,NaN,0.05,1.06,NaN,NaN,NaN,3.18
877,NaN,0.04,1.07,NaN,NaN,NaN,3.16
877.5,NaN,0.00,1.07,NaN,NaN,NaN,3.14
878,NaN,NaN,1.08,NaN,NaN,NaN,3.14
878.5,NaN,NaN,1.10,NaN,NaN,NaN,3.16
879,NaN,NaN,1.11,NaN,NaN,NaN,3.17
879.5,NaN,NaN,1.14,NaN,NaN,NaN,3.17
880,NaN,NaN,1.17,NaN,NaN,NaN,3.17
880.5,NaN,NaN,1.20,NaN,NaN,NaN,3.17
881,NaN,NaN,1.20,NaN,NaN,NaN,3.17
881.5,NaN,NaN,1.23,NaN,NaN,NaN,3.19
882,NaN,NaN,1.26,NaN,NaN,NaN,3.19
882.5,NaN,0.04,1.29,NaN,NaN,NaN,3.19
883,NaN,0.12,1.33,NaN,NaN,NaN,3.20
883.5,NaN,0.16,1.35,NaN,NaN,NaN,3.20
884,NaN,0.19,1.39,NaN,NaN,NaN,3.22
884.5,NaN,0.24,1.43,NaN,NaN,NaN,3.22
885,NaN,0.27,1.45,NaN,NaN,NaN,3.21
885.5,NaN,0.32,1.48,NaN,NaN,NaN,3.22
886,NaN,0.32,1.50,NaN,NaN,NaN,3.23
886.5,NaN,0.36,1.51,NaN,NaN,NaN,3.21
887,NaN,0.40,1.55,NaN,NaN,NaN,3.22
887.5,NaN,0.42,1.53,NaN,NaN,NaN,3.23
888,NaN,0.45,1.52,NaN,NaN,NaN,3.25
888.5,NaN,0.46,1.53,NaN,NaN,NaN,3.25
889,NaN,0.44,1.50,NaN,NaN,NaN,3.26
889.5,NaN,0.42,1.47,NaN,NaN,NaN,3.26
890,NaN,0.39,1.48,NaN,NaN,NaN,3.27
890.5,NaN,0.37,1.49,NaN,NaN,NaN,3.28
891,NaN,0.35,1.51,NaN,NaN,NaN,3.31
891.5,NaN,0.29,1.53,NaN,NaN,NaN,3.32
892,NaN,0.24,1.54,NaN,NaN,NaN,3.32
892.5,NaN,0.21,1.56,NaN,NaN,NaN,3.31
893,NaN,0.20,1.59,NaN,NaN,NaN,3.31
893.5,NaN,0.17,1.61,NaN,NaN,NaN,3.35
894,NaN,0.16,1.65,NaN,NaN,NaN,3.39
894.5,NaN,0.16,1.65,NaN,NaN,NaN,3.43
895,NaN,0.17,1.65,NaN,NaN,NaN,3.41
895.5,NaN,0.18,1.65,NaN,NaN,NaN,3.42
896,NaN,0.18,1.63,NaN,NaN,NaN,NaN
896.5,NaN,0.20,1.59,NaN,NaN,NaN,NaN
897,NaN,0.22,1.56,NaN,NaN,NaN,NaN
897.5,NaN,0.22,1.51,NaN,NaN,NaN,NaN
898,NaN,0.21,1.47,NaN,NaN,NaN,NaN
898.5,NaN,0.21,1.41,NaN,NaN,NaN,NaN
899,NaN,0.21,1.37,NaN,NaN,NaN,NaN
899.5,NaN,0.20,1.35,NaN,NaN,NaN,NaN
900,NaN,0.20,1.30,NaN,NaN,NaN,NaN
900.5,NaN,0.18,1.26,NaN,NaN,NaN,NaN
901,NaN,0.14,1.26,NaN,NaN,NaN,NaN
901.5,NaN,0.12,1.25,NaN,NaN,NaN,NaN
902,NaN,0.08,1.24,NaN,NaN,NaN,NaN
902.5,NaN,0.06,1.24,NaN,NaN,NaN,NaN
903,NaN,0.04,1.24,NaN,NaN,NaN,NaN
903.5,NaN,0.02,1.27,NaN,NaN,NaN,NaN
904,NaN,0.03,1.31,NaN,NaN,NaN,NaN
904.5,NaN,0.03,1.34,NaN,NaN,NaN,NaN
905,NaN,0.04,1.39,NaN,NaN,NaN,NaN
905.5,NaN,0.05,1.42,NaN,NaN,NaN,NaN
906,NaN,0.07,1.42,NaN,NaN,NaN,NaN
906.5,NaN,0.11,1.44,NaN,NaN,NaN,NaN
907,NaN,0.14,1.44,NaN,NaN,NaN,NaN
907.5,NaN,0.16,1.43,NaN,NaN,NaN,NaN
908,NaN,0.16,1.40,NaN,NaN,NaN,NaN
908.5,NaN,0.18,1.34,NaN,NaN,NaN,NaN
909,NaN,0.19,1.30,NaN,NaN,NaN,NaN
909.5,NaN,0.21,1.28,NaN,NaN,NaN,NaN
910,NaN,0.20,1.24,NaN,NaN,NaN,NaN
910.5,NaN,0.20,1.21,NaN,NaN,NaN,NaN
911,NaN,0.18,1.16,NaN,NaN,NaN,NaN
911.5,NaN,0.15,1.14,NaN,NaN,NaN,NaN
912,NaN,0.13,1.12,NaN,NaN,NaN,NaN
912.5,NaN,0.13,1.06,NaN,NaN,NaN,NaN
913,NaN,0.13,0.99,NaN,NaN,NaN,NaN
913.5,NaN,0.12,0.91,NaN,NaN,NaN,NaN
914,NaN,0.11,0.80,NaN,NaN,NaN,NaN
914.5,NaN,0.13,0.78,NaN,NaN,NaN,NaN
915,NaN,0.15,0.72,NaN,NaN,NaN,NaN
915.5,NaN,0.13,0.64,NaN,NaN,NaN,NaN
916,NaN,0.12,0.53,NaN,NaN,NaN,NaN
916.5,NaN,0.13,0.42,NaN,NaN,NaN,NaN
917,NaN,0.22,0.36,NaN,NaN,NaN,NaN
917.5,NaN,0.32,0.24,NaN,NaN,NaN,NaN
918,NaN,0.38,0.13,NaN,NaN,NaN,NaN
918.5,NaN,0.47,0.08,NaN,NaN,NaN,NaN
919,NaN,0.53,0.08,NaN,NaN,NaN,NaN
919.5,NaN,0.55,0.11,NaN,NaN,NaN,NaN
920,NaN,0.59,0.18,NaN,NaN,NaN,NaN
920.5,NaN,0.59,0.26,NaN,NaN,NaN,NaN
921,NaN,0.68,0.37,NaN,NaN,NaN,NaN
921.5,NaN,0.77,0.48,NaN,NaN,NaN,NaN
922,NaN,0.80,0.54,NaN,NaN,NaN,NaN
922.5,NaN,0.88,0.65,NaN,NaN,NaN,NaN
923,NaN,0.91,0.77,NaN,NaN,NaN,NaN
923.5,NaN,0.91,0.87,NaN,NaN,NaN,NaN
924,NaN,0.90,0.93,NaN,NaN,NaN,NaN
924.5,NaN,0.87,0.94,NaN,NaN,NaN,NaN
925,NaN,0.85,0.98,NaN,NaN,NaN,NaN
