secs,&nbsp;4 12:28+1&gt;1,&nbsp;4 12:34+2&gt;2,&nbsp;4 14:24+6&gt;2,&nbsp;4 17:43+0&gt;2,&nbsp;9c+ 18:19+0&gt;13,&nbsp;9c+ 18:20+0&gt;24,&nbsp;9a 18:23+26&gt;26
49.5,0.78,1.70,0.68,2.06,12.48,5.93,NaN
50,0.82,1.67,0.76,2.00,12.48,5.94,NaN
50.5,0.87,1.66,0.80,1.91,12.48,5.90,NaN
51,0.85,1.64,0.81,1.88,12.46,5.82,NaN
51.5,0.83,1.63,0.84,1.83,12.46,5.74,NaN
52,0.82,1.60,0.88,1.80,12.47,5.67,NaN
52.5,0.84,1.56,0.94,1.73,12.46,5.65,NaN
53,0.88,1.51,0.96,1.68,12.46,5.62,NaN
53.5,0.93,1.49,0.96,1.66,12.47,5.59,NaN
54,0.90,1.46,1.01,1.60,12.45,5.58,NaN
54.5,0.88,1.44,1.04,1.58,12.39,5.55,NaN
55,0.86,1.40,1.05,1.56,12.28,5.56,NaN
55.5,0.86,1.37,1.05,1.53,12.22,5.57,NaN
56,0.87,1.34,1.05,1.53,12.04,5.55,NaN
56.5,0.84,1.31,1.08,1.53,11.85,5.52,NaN
57,0.83,1.28,1.09,1.52,11.63,5.50,NaN
57.5,0.79,1.27,1.11,1.46,11.40,5.49,NaN
58,0.74,1.25,1.12,1.39,11.28,5.47,NaN
58.5,0.70,1.25,1.13,1.34,11.02,23.93,NaN
59,0.64,1.26,1.15,1.27,10.77,NaN,NaN
59.5,0.62,1.26,1.18,1.27,10.49,NaN,NaN
60,0.60,1.28,1.24,1.28,10.22,NaN,NaN
60.5,0.58,1.30,1.29,1.26,10.07,NaN,NaN
61,0.56,1.33,1.32,1.25,9.79,NaN,NaN
61.5,0.52,1.35,1.40,NaN,9.50,NaN,NaN
62,0.51,1.36,1.43,NaN,9.20,NaN,NaN
62.5,0.50,1.42,1.50,NaN,8.89,NaN,NaN
63,0.46,1.46,1.56,NaN,8.73,NaN,NaN
63.5,0.42,1.50,1.55,NaN,8.42,NaN,NaN
64,0.38,1.51,1.55,NaN,8.11,NaN,NaN
64.5,0.37,1.55,1.58,NaN,7.79,NaN,NaN
65,0.32,1.55,1.61,NaN,7.44,NaN,NaN
65.5,0.27,1.55,1.63,NaN,7.28,NaN,NaN
66,0.20,1.53,1.63,NaN,6.98,NaN,NaN
66.5,0.14,1.52,1.68,NaN,6.66,NaN,NaN
67,0.11,1.51,1.71,NaN,6.34,NaN,NaN
67.5,0.05,1.49,1.73,NaN,5.99,NaN,NaN
68,0.03,1.49,1.79,NaN,5.84,NaN,NaN
68.5,NaN,1.47,1.82,NaN,5.49,NaN,NaN
69,NaN,1.44,1.84,NaN,5.16,NaN,NaN
69.5,NaN,1.41,1.90,NaN,4.83,NaN,NaN
70,NaN,1.35,1.93,NaN,4.52,NaN,NaN
70.5,NaN,1.30,1.93,NaN,4.35,NaN,NaN
71,NaN,1.24,1.92,NaN,4.01,NaN,NaN
71.5,NaN,1.20,1.89,NaN,3.67,NaN,NaN
72,NaN,1.13,1.86,NaN,3.32,NaN,NaN
72.5,NaN,1.08,1.82,NaN,3.00,NaN,NaN
73,NaN,1.04,1.76,NaN,2.83,NaN,NaN
73.5,NaN,1.00,1.69,NaN,2.49,NaN,NaN
74,NaN,0.96,1.65,NaN,2.17,NaN,NaN
74.5,NaN,0.95,1.62,NaN,1.88,NaN,NaN
75,NaN,0.91,1.61,NaN,1.64,NaN,NaN
75.5,0.01,0.89,1.61,NaN,1.43,NaN,NaN
76,0.03,0.90,1.59,NaN,1.35,NaN,NaN
76.5,0.10,0.89,1.58,NaN,1.19,NaN,NaN
77,0.16,0.86,1.53,NaN,1.05,NaN,NaN
77.5,0.18,0.84,1.46,NaN,0.92,NaN,0.00
78,0.18,0.81,1.42,NaN,0.86,NaN,0.01
78.5,0.18,0.78,1.37,NaN,0.78,NaN,0.03
79,0.25,0.78,1.37,NaN,0.70,NaN,0.07
79.5,0.33,0.76,1.37,NaN,0.65,NaN,0.10
80,0.38,0.73,1.37,NaN,0.57,NaN,0.11
80.5,0.38,0.69,1.32,NaN,0.55,NaN,0.11
81,0.42,0.67,1.29,NaN,0.50,NaN,0.14
81.5,0.44,0.67,1.28,NaN,0.44,NaN,0.15
82,0.41,0.67,1.28,NaN,0.40,NaN,0.15
82.5,0.40,0.63,1.30,NaN,0.36,NaN,0.16
83,0.41,0.64,1.32,NaN,0.32,NaN,0.16
83.5,0.41,0.65,1.33,NaN,0.31,NaN,0.17
84,0.43,0.66,1.34,NaN,0.29,NaN,0.17
84.5,0.47,0.67,1.33,NaN,0.29,NaN,0.19
85,0.48,0.68,1.35,NaN,0.29,NaN,0.22
85.5,0.50,0.70,1.36,NaN,0.27,NaN,0.21
86,0.49,0.66,1.35,NaN,0.27,NaN,0.22
86.5,0.47,0.62,1.35,NaN,NaN,NaN,0.23
87,0.42,0.61,1.36,NaN,NaN,NaN,0.23
87.5,0.31,0.59,1.38,NaN,NaN,NaN,0.24
88,0.24,0.55,1.36,NaN,NaN,NaN,0.22
88.5,0.07,0.50,1.39,NaN,NaN,NaN,0.20
89,NaN,0.48,1.39,NaN,NaN,NaN,0.22
89.5,NaN,0.46,1.40,NaN,NaN,NaN,0.20
90,NaN,0.41,1.41,NaN,NaN,NaN,0.18
90.5,NaN,0.35,1.45,NaN,NaN,NaN,0.19
91,NaN,0.30,1.48,NaN,NaN,NaN,0.21
91.5,NaN,0.28,1.51,NaN,NaN,NaN,0.21
92,NaN,0.29,1.56,NaN,NaN,NaN,0.22
92.5,NaN,0.33,1.59,NaN,NaN,NaN,0.20
93,NaN,0.38,1.63,NaN,NaN,NaN,0.21
93.5,NaN,0.44,1.67,NaN,NaN,NaN,0.21
94,NaN,0.51,1.70,NaN,NaN,NaN,0.22
94.5,NaN,0.53,1.76,NaN,NaN,NaN,0.23
95,NaN,0.59,1.78,NaN,NaN,NaN,0.24
95.5,NaN,0.68,1.80,NaN,NaN,NaN,0.24
96,0.02,0.81,1.82,NaN,NaN,NaN,0.24
96.5,0.10,0.90,1.83,NaN,NaN,NaN,0.22
97,0.28,0.90,1.86,NaN,NaN,NaN,0.21
97.5,0.41,0.96,1.88,NaN,NaN,NaN,0.22
98,0.54,1.02,1.89,NaN,NaN,NaN,0.22
98.5,0.65,1.07,1.89,NaN,NaN,NaN,0.22
99,0.76,1.11,1.88,NaN,NaN,NaN,0.21
99.5,0.90,1.12,1.84,NaN,NaN,NaN,0.22
100,1.01,1.20,1.82,NaN,NaN,NaN,0.22
100.5,1.09,1.27,1.76,NaN,NaN,NaN,0.23
101,1.13,1.36,1.74,NaN,NaN,NaN,0.26
101.5,1.13,1.46,1.72,NaN,NaN,NaN,0.29
102,1.13,1.48,1.68,NaN,NaN,NaN,0.30
102.5,1.12,1.52,1.63,NaN,NaN,NaN,0.31
103,1.17,1.56,1.60,NaN,NaN,NaN,0.32
103.5,1.24,1.58,1.54,NaN,NaN,NaN,0.34
104,1.25,1.56,1.52,NaN,NaN,NaN,0.34
104.5,1.22,1.58,1.48,NaN,NaN,NaN,0.33
105,1.18,1.58,1.43,NaN,NaN,NaN,0.34
105.5,1.12,1.57,1.40,NaN,NaN,NaN,0.35
106,1.09,1.56,1.36,NaN,NaN,NaN,0.36
106.5,1.08,1.61,1.34,NaN,NaN,NaN,0.38
107,1.05,1.62,1.32,NaN,NaN,NaN,0.40
107.5,0.98,1.67,1.28,NaN,NaN,NaN,0.40
108,0.90,1.73,1.23,NaN,NaN,NaN,0.41
108.5,0.87,1.78,1.18,NaN,NaN,NaN,0.41
109,0.80,1.83,1.18,NaN,NaN,NaN,0.41
109.5,0.75,1.83,1.16,NaN,NaN,NaN,0.41
110,0.72,1.83,1.19,NaN,NaN,NaN,0.40
110.5,0.70,1.84,1.20,NaN,NaN,NaN,0.40
111,0.64,1.82,1.25,NaN,NaN,NaN,0.41
111.5,0.62,1.81,1.26,NaN,NaN,NaN,0.40
112,0.54,1.80,1.32,NaN,NaN,NaN,0.40
112.5,0.42,1.81,1.38,NaN,NaN,NaN,0.39
113,0.34,1.80,1.42,NaN,NaN,NaN,0.38
113.5,0.32,1.79,1.45,NaN,NaN,NaN,0.40
114,0.26,1.77,1.44,NaN,NaN,NaN,0.39
114.5,0.17,1.75,1.42,NaN,NaN,NaN,0.37
115,0.12,1.73,1.42,NaN,NaN,NaN,0.38
115.5,0.11,1.74,1.42,NaN,NaN,NaN,0.37
116,0.04,1.75,1.42,NaN,NaN,NaN,0.39
116.5,0.02,1.76,1.43,NaN,NaN,NaN,0.40
