secs,&nbsp;4 17:21+1&gt;9,&nbsp;5b 17:23+1&gt;10,&nbsp;6a 17:26+1&gt;9,&nbsp;6a 17:32+2&gt;11,&nbsp;6a 17:38+2&gt;9,&nbsp;5b 17:41+1&gt;11,&nbsp;5c 17:44+1&gt;9,-6a+ 17:47+0&gt;3,-6a+ 17:48+2&gt;10,&nbsp;7a 18:24+3&gt;8,&nbsp;6a+ 18:33+2&gt;8,-6b+ 18:59+2&gt;2,&nbsp;5a 19:03+1&gt;7,&nbsp;6b+ 19:08+2&gt;8,&nbsp;6c 19:31+2&gt;5,&nbsp;6a+ 19:33+0&gt;5,&nbsp;6a+ 19:56+2&gt;9,&nbsp;5b 19:59+1&gt;7,&nbsp;6a 20:12+2&gt;8,&nbsp;6b 20:18+4&gt;10
10.5,0.78,0.86,1.28,0.98,0.87,1.38,0.40,1.11,0.64,0.92,0.50,NaN,0.51,0.47,0.40,0.58,0.16,NaN,NaN,0.31
11,0.80,0.83,1.34,1.03,0.90,1.53,0.49,1.15,0.67,0.99,0.63,NaN,0.55,0.59,0.49,0.73,0.19,NaN,0.05,0.38
11.5,0.77,0.89,1.36,1.05,0.92,1.58,0.61,1.14,0.74,1.05,0.73,NaN,0.54,0.72,0.58,0.89,0.23,NaN,0.19,0.43
12,0.79,0.97,1.39,1.01,0.92,1.65,0.75,1.15,0.85,1.08,0.75,NaN,0.51,0.81,0.68,0.99,0.33,NaN,0.27,0.49
12.5,0.86,1.03,1.35,0.99,0.93,1.65,0.86,1.25,1.04,1.11,0.75,NaN,0.55,0.95,0.78,1.04,0.44,NaN,0.37,0.56
13,0.93,1.07,1.33,1.07,0.88,1.71,0.87,1.30,1.17,1.10,0.70,NaN,0.60,1.05,0.79,1.10,0.59,NaN,0.42,0.60
13.5,0.95,1.10,1.28,1.14,0.82,1.85,0.87,1.32,1.26,1.12,0.68,NaN,0.65,1.13,0.80,1.17,0.68,NaN,0.48,0.67
14,0.93,1.15,1.29,1.23,0.76,2.00,0.83,1.34,1.34,1.10,0.68,NaN,0.68,1.24,0.77,1.23,0.68,NaN,0.54,0.86
14.5,0.91,1.25,1.34,1.28,0.78,2.09,0.84,1.37,1.39,1.09,0.63,NaN,0.69,1.26,0.73,1.24,0.74,0.01,0.56,1.03
15,0.89,1.32,1.43,1.31,0.85,2.16,0.90,1.32,1.43,1.06,0.58,NaN,0.69,1.36,0.78,1.24,0.76,0.04,0.61,1.13
15.5,0.96,1.34,1.48,1.39,0.98,2.23,0.96,1.28,1.45,1.01,0.57,NaN,0.70,1.40,0.84,1.44,0.96,0.08,0.64,1.21
16,1.03,1.43,1.57,1.42,1.01,2.27,0.99,1.33,1.41,1.01,0.61,NaN,0.72,1.44,0.94,1.48,1.00,0.15,0.67,1.27
16.5,1.12,1.48,1.60,1.54,1.09,2.34,1.02,1.35,1.39,0.97,0.64,NaN,0.72,1.45,1.00,1.59,1.05,0.18,0.68,1.35
17,1.24,1.56,1.66,1.63,1.17,2.39,1.08,1.37,1.46,0.97,0.68,-0.00,0.74,1.46,0.99,1.66,1.05,0.21,0.73,1.40
17.5,1.39,1.66,1.73,1.74,1.23,2.60,1.10,1.46,1.56,1.07,0.79,0.02,0.86,1.49,1.05,1.73,1.07,0.16,0.73,1.45
18,1.44,1.77,1.82,1.93,1.27,2.72,1.10,1.58,1.65,1.23,0.91,0.09,1.00,1.50,1.09,1.73,1.06,0.12,0.80,1.49
18.5,1.60,1.88,1.93,2.05,1.29,2.81,1.23,1.66,1.76,1.35,1.01,0.13,1.17,1.59,1.11,1.72,1.08,0.05,0.89,1.59
19,1.75,1.95,2.08,2.18,1.32,2.99,1.29,1.73,1.85,1.43,1.11,0.15,1.29,1.69,1.12,1.77,1.19,0.04,0.94,1.68
19.5,1.83,2.00,2.15,2.32,1.36,3.16,1.39,1.81,1.89,1.51,1.14,0.22,1.34,1.72,1.11,1.75,1.36,0.01,0.98,1.75
20,1.92,2.05,2.20,2.40,1.39,3.25,1.42,1.83,1.93,1.56,1.24,0.25,1.38,1.73,1.10,1.79,1.43,0.02,0.94,1.83
20.5,1.96,2.07,2.22,2.47,1.42,3.31,1.46,1.88,1.95,1.66,1.40,0.26,1.39,1.81,1.08,1.80,1.58,-0.00,0.88,1.84
21,2.02,2.09,2.25,2.54,1.50,3.40,1.49,1.94,1.95,1.74,1.43,0.24,1.44,1.86,1.01,1.90,1.57,NaN,0.83,1.86
21.5,2.19,2.12,2.27,2.56,1.63,3.38,1.58,1.94,1.93,1.85,1.43,0.27,1.52,1.90,1.00,1.99,1.58,NaN,0.77,1.94
22,2.33,2.14,2.29,2.60,1.70,3.41,1.60,1.97,1.92,1.88,1.43,0.27,1.54,1.93,0.96,2.03,1.58,NaN,0.75,1.99
22.5,2.44,2.19,2.31,2.61,1.72,3.44,1.69,1.97,1.94,1.94,1.40,0.28,1.52,2.04,0.94,2.13,1.57,0.01,0.72,2.15
23,2.59,2.21,2.35,2.63,1.81,3.55,1.78,1.96,1.98,1.99,1.38,0.33,1.48,2.13,1.01,2.22,1.58,0.06,0.72,2.28
23.5,2.76,2.26,2.33,2.60,1.90,3.64,1.85,2.01,2.02,1.99,1.38,0.36,1.47,2.18,1.08,2.28,1.57,0.19,0.75,2.37
24,2.83,2.29,2.30,2.61,1.92,3.72,1.98,2.07,2.04,2.07,1.40,0.36,1.51,2.27,1.13,2.30,1.57,0.26,0.79,2.40
24.5,2.95,2.37,2.30,2.61,1.92,3.74,2.11,2.16,2.00,2.06,1.36,0.35,1.54,2.34,1.13,2.33,1.59,0.31,0.89,2.45
25,3.03,2.48,2.33,2.65,1.96,3.80,2.16,2.22,2.03,2.06,1.34,0.33,1.53,2.40,1.10,2.40,1.58,0.29,1.05,2.50
25.5,3.10,2.54,2.36,2.67,1.95,3.84,2.22,2.32,2.11,2.03,1.34,0.36,1.49,2.39,1.08,2.52,1.71,0.30,1.22,2.58
26,3.18,2.59,2.45,2.77,1.98,3.89,2.27,2.39,2.17,2.02,1.43,0.40,1.46,2.39,1.04,2.60,1.81,0.33,1.35,2.63
26.5,3.28,2.62,2.53,2.92,1.99,3.95,2.29,2.46,2.21,1.91,1.52,0.50,1.45,2.43,1.02,2.68,1.92,0.41,1.44,2.67
27,3.40,2.62,2.60,3.03,1.98,4.05,2.32,2.49,2.23,1.75,1.61,0.55,1.41,2.45,1.03,2.75,1.99,0.54,1.54,2.63
27.5,3.55,2.65,2.65,3.12,1.98,4.16,2.36,2.51,2.26,1.66,1.66,0.54,1.39,2.50,1.01,2.76,2.06,0.59,1.60,2.60
28,3.68,2.70,2.74,3.19,1.98,4.20,2.38,2.54,2.29,1.63,1.60,0.54,1.48,2.54,1.02,2.77,2.10,0.68,1.72,2.53
28.5,3.77,2.80,2.85,3.29,1.97,4.21,2.41,2.59,2.43,1.53,1.49,0.55,1.53,2.59,1.02,2.91,2.18,0.76,1.79,2.53
29,3.83,2.91,2.89,3.37,1.94,4.23,2.41,2.60,2.58,1.47,1.45,0.57,1.60,2.64,1.00,3.03,2.28,0.86,1.92,2.53
29.5,3.82,3.04,2.96,3.39,1.92,4.32,2.40,2.68,2.69,1.45,1.40,0.54,1.65,2.67,0.99,3.11,2.36,0.92,2.00,2.63
30,3.83,3.17,2.98,3.47,1.92,4.47,2.41,2.75,2.81,1.49,1.40,0.64,1.66,2.70,0.99,3.14,2.41,1.03,2.08,2.76
30.5,3.78,3.23,3.05,3.51,1.92,4.62,2.46,2.80,2.89,1.59,1.39,0.68,1.71,2.74,1.01,3.18,2.41,1.14,2.17,2.82
31,3.84,3.33,3.16,3.55,1.93,4.73,2.46,2.83,3.11,1.69,1.35,0.87,1.74,2.77,1.03,3.18,2.58,1.27,2.29,2.96
31.5,3.96,3.42,3.24,3.56,1.98,4.85,2.42,2.90,3.19,1.75,1.29,0.97,1.75,2.77,1.04,3.15,2.52,1.37,2.33,3.03
32,4.07,3.45,3.30,3.58,2.02,4.97,2.43,2.77,3.30,1.80,1.30,1.08,1.78,2.81,1.06,3.11,2.46,1.48,2.38,3.08
32.5,4.12,3.46,3.31,3.61,2.05,5.06,2.48,2.52,3.36,1.89,1.37,1.18,1.80,2.87,1.10,3.06,2.45,1.60,2.42,3.15
33,4.08,3.47,3.35,3.61,2.11,5.13,2.52,2.24,3.48,1.90,1.44,1.27,1.81,2.94,1.13,3.11,2.41,1.70,2.46,3.25
33.5,4.08,3.47,3.38,3.62,2.15,5.13,2.57,1.95,3.61,1.96,1.55,1.34,1.79,2.96,1.12,3.22,2.47,1.75,2.47,3.35
34,4.14,3.45,3.38,3.63,2.22,5.12,2.66,1.65,3.66,1.97,1.68,1.44,1.85,2.98,1.12,3.31,2.48,1.83,2.50,3.47
34.5,4.27,3.41,3.39,3.67,2.25,5.11,2.74,1.53,3.75,2.00,1.88,1.58,1.92,3.01,1.11,3.34,2.51,1.90,2.51,3.55
35,4.40,3.39,3.44,3.66,2.25,5.08,2.80,1.17,3.88,2.05,1.96,1.67,2.03,2.97,1.09,3.37,2.52,2.01,2.55,3.63
35.5,4.44,3.38,3.46,3.65,2.26,5.03,2.83,0.83,3.90,2.06,2.13,1.66,2.10,2.99,1.01,3.41,2.52,2.08,2.57,3.69
36,4.50,3.33,3.51,3.61,2.28,5.03,2.83,0.50,3.85,2.08,2.29,1.66,2.17,3.02,0.94,3.44,2.59,2.12,2.56,3.75
36.5,4.57,3.33,3.53,3.59,2.30,5.05,2.87,0.33,3.82,2.09,2.41,1.63,2.21,3.06,0.92,3.50,2.62,2.15,2.56,3.81
37,4.69,3.35,3.57,3.55,2.32,5.03,2.91,0.26,3.83,2.12,2.50,1.60,2.23,3.07,0.88,3.53,2.64,2.17,2.63,3.86
37.5,4.80,3.43,3.61,3.49,2.31,5.04,2.95,0.23,3.87,2.19,2.61,1.56,2.21,3.10,0.85,3.53,2.71,2.20,2.73,3.90
38,4.90,3.50,3.64,3.40,2.28,5.07,3.00,0.18,3.97,2.24,2.77,1.43,2.24,3.11,0.87,3.53,2.75,2.24,2.77,3.94
38.5,4.97,3.63,3.69,3.37,2.30,5.12,3.04,0.15,4.01,2.30,2.90,1.38,2.31,3.11,0.92,3.54,2.77,2.31,2.84,3.98
39,5.03,3.74,3.71,3.32,2.31,5.24,3.14,NaN,4.11,2.38,2.98,1.28,2.39,3.09,0.94,3.60,2.90,2.37,2.85,4.07
39.5,5.14,3.84,3.69,3.35,2.33,5.35,3.20,NaN,4.18,2.46,3.05,1.20,2.47,3.10,1.00,3.66,3.03,2.35,2.86,4.15
40,5.33,3.89,3.69,3.42,2.30,5.39,3.26,NaN,4.20,2.52,3.19,1.24,2.59,3.09,1.04,3.69,3.11,2.31,2.88,4.22
40.5,5.51,3.98,3.68,3.49,2.32,5.43,3.32,NaN,4.32,2.63,3.25,1.18,2.62,3.13,1.08,3.70,3.18,2.27,2.93,4.28
41,5.64,4.08,3.70,3.60,2.34,5.51,3.44,NaN,4.33,2.70,3.28,1.16,2.70,3.14,1.07,3.75,3.20,2.23,2.96,4.29
41.5,5.71,4.24,3.79,3.64,2.36,5.65,3.57,NaN,4.32,2.74,3.39,1.13,2.73,3.15,1.08,3.84,3.23,2.13,2.97,4.32
42,5.85,4.36,3.82,3.67,2.34,5.82,3.70,NaN,4.31,2.81,3.58,1.14,2.80,3.14,1.09,3.97,3.24,2.08,2.99,4.36
42.5,5.98,4.46,3.87,3.74,2.34,6.01,3.79,NaN,4.29,2.85,3.75,1.15,2.80,3.19,1.11,4.08,3.23,1.99,3.00,4.37
43,6.04,4.58,3.86,3.83,2.34,6.18,3.86,NaN,4.30,2.91,3.91,1.14,2.77,3.29,1.15,4.15,3.24,2.02,3.00,4.37
43.5,6.12,4.69,3.88,4.02,2.35,6.32,3.89,NaN,4.33,2.89,4.03,1.15,2.73,3.43,1.19,4.19,3.22,2.07,3.03,4.41
44,6.15,4.79,3.89,4.16,2.33,6.42,3.95,NaN,4.36,2.87,4.14,1.12,2.73,3.54,1.30,4.20,3.24,2.13,3.06,4.43
44.5,6.20,4.87,3.92,4.24,2.32,6.49,4.04,NaN,4.39,2.88,4.19,1.10,2.74,3.51,1.38,4.22,3.25,2.14,3.14,4.42
45,6.28,4.94,3.94,4.32,2.34,6.54,4.08,NaN,4.43,2.89,4.20,1.09,2.73,3.44,1.47,4.24,3.34,2.14,3.16,4.44
45.5,6.37,5.00,4.01,4.36,2.32,6.56,4.11,NaN,4.58,2.86,4.18,1.12,2.76,3.49,1.47,4.25,3.46,2.16,3.19,4.46
46,6.47,5.04,4.19,4.41,2.33,6.60,4.12,NaN,4.65,2.85,4.26,1.13,2.80,3.52,1.56,4.30,3.58,2.18,3.20,4.60
46.5,6.50,5.06,4.21,4.48,2.34,6.62,4.32,NaN,4.64,2.79,4.23,1.18,2.80,3.44,1.58,4.31,3.72,2.17,3.27,4.56
47,6.61,5.08,4.29,4.62,2.37,6.63,4.40,NaN,4.64,2.76,4.24,1.18,2.76,3.32,1.60,4.33,3.86,2.20,3.31,4.52
47.5,6.69,5.16,4.30,4.73,2.39,6.73,4.48,NaN,4.66,2.74,4.22,1.23,2.70,3.25,1.61,4.42,4.01,2.25,3.36,4.46
48,6.76,5.24,4.32,4.77,2.45,6.84,4.57,NaN,4.67,2.77,4.26,1.26,2.66,3.22,1.61,4.50,4.05,2.27,3.37,4.45
48.5,6.81,5.39,4.38,4.82,2.48,6.93,4.61,NaN,4.66,2.77,4.37,1.29,2.59,3.27,1.64,4.59,4.08,2.35,3.37,4.52
49,6.86,5.57,4.50,4.87,2.51,6.97,4.68,NaN,4.67,2.81,4.47,1.37,2.49,3.29,1.66,4.59,4.13,2.48,3.41,4.55
49.5,6.92,5.67,4.59,4.88,2.54,6.97,4.78,NaN,4.70,2.86,4.51,1.41,2.43,3.30,1.69,4.57,4.19,2.55,3.41,4.53
50,7.02,5.76,4.62,4.85,2.58,6.96,4.93,NaN,4.77,2.93,4.53,1.45,2.53,3.37,1.68,4.57,4.25,2.67,3.40,4.54
50.5,7.11,5.86,4.68,4.79,2.60,6.91,5.02,NaN,4.88,2.96,4.55,1.44,2.62,3.52,1.63,4.57,4.25,2.81,3.39,4.52
51,7.14,5.92,4.76,4.75,2.64,6.94,5.16,NaN,4.94,3.04,4.54,1.44,2.65,3.64,1.71,4.55,4.22,3.00,3.38,4.48
51.5,7.17,5.92,4.83,4.75,2.66,7.02,5.30,NaN,5.01,3.08,4.56,1.45,2.77,3.70,1.77,4.57,4.22,3.07,3.37,4.43
52,7.19,5.94,4.90,4.78,2.67,7.14,5.36,NaN,5.04,3.12,4.55,1.44,2.88,3.74,1.94,4.57,4.27,3.22,3.39,4.37
52.5,7.17,5.99,4.98,4.96,2.64,7.21,5.36,NaN,5.09,3.17,4.56,1.44,2.92,3.80,2.08,4.62,4.35,3.31,3.41,4.27
53,7.19,6.07,5.05,5.10,2.61,7.23,5.36,NaN,5.13,3.26,4.56,1.46,3.00,3.88,2.18,4.72,4.44,3.40,3.42,4.13
53.5,7.21,6.14,5.10,5.21,2.60,7.30,5.36,NaN,5.13,3.36,4.58,1.48,3.04,3.92,2.26,4.78,4.51,3.46,3.41,4.07
54,7.32,6.24,5.10,5.24,2.58,7.34,5.36,NaN,5.15,3.48,4.61,1.47,3.08,3.97,2.35,4.88,4.59,3.51,3.39,4.03
54.5,7.42,6.29,5.08,5.25,2.57,7.36,5.39,NaN,5.19,3.58,4.61,1.46,3.10,4.01,2.42,4.91,4.70,3.62,3.32,4.03
55,7.47,6.35,5.05,5.29,2.61,7.41,5.48,NaN,5.20,3.63,4.69,1.47,3.16,4.02,2.45,4.95,4.75,3.74,3.30,4.05
55.5,7.52,6.45,5.06,5.41,2.60,7.52,5.59,NaN,5.20,3.66,4.75,1.47,3.21,4.04,2.51,4.97,4.78,3.84,3.26,4.13
56,7.65,6.56,5.15,5.58,2.66,7.66,5.68,NaN,5.21,3.69,4.82,1.46,3.27,4.15,2.53,5.00,4.75,3.96,3.22,4.23
56.5,7.77,6.62,5.21,5.64,2.69,7.79,5.77,NaN,5.20,3.76,4.90,1.47,3.36,4.19,2.56,5.10,4.76,4.03,3.21,4.23
57,7.84,6.61,5.30,5.67,2.71,7.90,5.78,NaN,5.21,3.76,4.92,1.48,3.47,4.26,2.58,5.21,4.81,4.10,3.21,4.53
57.5,7.91,6.58,5.38,5.70,2.74,7.94,5.71,NaN,5.22,3.75,4.94,1.48,3.58,4.34,2.57,5.27,4.89,4.12,3.24,4.72
58,7.96,6.58,5.43,5.76,2.84,7.96,5.63,NaN,5.20,3.77,4.94,1.51,3.66,4.37,2.56,5.29,4.96,4.18,3.23,4.83
