secs,4 12:28+3&gt;1,4 12:34+20&gt;2,4 14:24+65&gt;2,4 17:43+1&gt;2,9c+ 18:19+1&gt;13,9c+ 18:20+0&gt;6
52,0.82,1.60,0.88,1.80,12.47,5.67
52.5,0.84,1.56,0.94,1.73,12.46,5.65
53,0.88,1.51,0.96,1.68,12.46,5.62
53.5,0.93,1.49,0.96,1.66,12.47,5.59
54,0.90,1.46,1.01,1.60,12.45,5.58
54.5,0.88,1.44,1.04,1.58,12.39,5.55
55,0.86,1.40,1.05,1.56,12.28,5.56
55.5,0.86,1.37,1.05,1.53,12.22,5.57
56,0.87,1.34,1.05,1.53,12.04,5.55
56.5,0.84,1.31,1.08,1.53,11.85,5.52
57,0.83,1.28,1.09,1.52,11.63,5.50
57.5,0.79,1.27,1.11,1.46,11.40,5.49
58,0.74,1.25,1.12,1.39,11.28,5.47
58.5,0.70,1.25,1.13,1.34,11.02,NaN
59,0.64,1.26,1.15,1.27,10.77,NaN
59.5,0.62,1.26,1.18,1.27,10.49,NaN
60,0.60,1.28,1.24,1.28,10.22,NaN
60.5,0.58,1.30,1.29,1.26,10.07,NaN
61,0.56,1.33,1.32,1.25,9.79,NaN
61.5,0.52,1.35,1.40,NaN,9.50,NaN
62,0.51,1.36,1.43,NaN,9.20,NaN
62.5,0.50,1.42,1.50,NaN,8.89,NaN
63,0.46,1.46,1.56,NaN,8.73,NaN
63.5,0.42,1.50,1.55,NaN,8.42,NaN
64,0.38,1.51,1.55,NaN,8.11,NaN
64.5,0.37,1.55,1.58,NaN,7.79,NaN
65,0.32,1.55,1.61,NaN,7.44,NaN
65.5,0.27,1.55,1.63,NaN,7.28,NaN
66,0.20,1.53,1.63,NaN,6.98,NaN
66.5,0.14,1.52,1.68,NaN,6.66,NaN
67,0.11,1.51,1.71,NaN,6.34,NaN
67.5,0.05,1.49,1.73,NaN,5.99,NaN
68,0.03,1.49,1.79,NaN,5.84,NaN
68.5,NaN,1.47,1.82,NaN,5.49,NaN
69,NaN,1.44,1.84,NaN,5.16,NaN
69.5,NaN,1.41,1.90,NaN,4.83,NaN
70,NaN,1.35,1.93,NaN,4.52,NaN
70.5,NaN,1.30,1.93,NaN,4.35,NaN
71,NaN,1.24,1.92,NaN,4.01,NaN
71.5,NaN,1.20,1.89,NaN,3.67,NaN
72,NaN,1.13,1.86,NaN,3.32,NaN
72.5,NaN,1.08,1.82,NaN,3.00,NaN
73,NaN,1.04,1.76,NaN,2.83,NaN
73.5,NaN,1.00,1.69,NaN,2.49,NaN
74,NaN,0.96,1.65,NaN,2.17,NaN
74.5,NaN,0.95,1.62,NaN,1.88,NaN
75,NaN,0.91,1.61,NaN,1.64,NaN
75.5,0.01,0.89,1.61,NaN,1.43,NaN
76,0.03,0.90,1.59,NaN,1.35,NaN
76.5,0.10,0.89,1.58,NaN,1.19,NaN
77,0.16,0.86,1.53,NaN,1.05,NaN
77.5,0.18,0.84,1.46,NaN,0.92,NaN
78,0.18,0.81,1.42,NaN,0.86,NaN
78.5,0.18,0.78,1.37,NaN,0.78,NaN
79,0.25,0.78,1.37,NaN,0.70,NaN
79.5,0.33,0.76,1.37,NaN,0.65,NaN
80,0.38,0.73,1.37,NaN,0.57,NaN
80.5,0.38,0.69,1.32,NaN,0.55,NaN
81,0.42,0.67,1.29,NaN,0.50,NaN
81.5,0.44,0.67,1.28,NaN,0.44,NaN
82,0.41,0.67,1.28,NaN,0.40,NaN
82.5,0.40,0.63,1.30,NaN,0.36,NaN
83,0.41,0.64,1.32,NaN,0.32,NaN
83.5,0.41,0.65,1.33,NaN,0.31,NaN
84,0.43,0.66,1.34,NaN,0.29,NaN
84.5,0.47,0.67,1.33,NaN,0.29,NaN
85,0.48,0.68,1.35,NaN,0.29,NaN
85.5,0.50,0.70,1.36,NaN,0.27,NaN
86,0.49,0.66,1.35,NaN,0.27,NaN
86.5,0.47,0.62,1.35,NaN,NaN,NaN
87,0.42,0.61,1.36,NaN,NaN,NaN
87.5,0.31,0.59,1.38,NaN,NaN,NaN
88,0.24,0.55,1.36,NaN,NaN,NaN
88.5,0.07,0.50,1.39,NaN,NaN,NaN
89,NaN,0.48,1.39,NaN,NaN,NaN
89.5,NaN,0.46,1.40,NaN,NaN,NaN
90,NaN,0.41,1.41,NaN,NaN,NaN
90.5,NaN,0.35,1.45,NaN,NaN,NaN
91,NaN,0.30,1.48,NaN,NaN,NaN
91.5,NaN,0.28,1.51,NaN,NaN,NaN
92,NaN,0.29,1.56,NaN,NaN,NaN
92.5,NaN,0.33,1.59,NaN,NaN,NaN
93,NaN,0.38,1.63,NaN,NaN,NaN
93.5,NaN,0.44,1.67,NaN,NaN,NaN
94,NaN,0.51,1.70,NaN,NaN,NaN
94.5,NaN,0.53,1.76,NaN,NaN,NaN
95,NaN,0.59,1.78,NaN,NaN,NaN
95.5,NaN,0.68,1.80,NaN,NaN,NaN
96,0.02,0.81,1.82,NaN,NaN,NaN
96.5,0.10,0.90,1.83,NaN,NaN,NaN
97,0.28,0.90,1.86,NaN,NaN,NaN
97.5,0.41,0.96,1.88,NaN,NaN,NaN
98,0.54,1.02,1.89,NaN,NaN,NaN
98.5,0.65,1.07,1.89,NaN,NaN,NaN
99,0.76,1.11,1.88,NaN,NaN,NaN
99.5,0.90,1.12,1.84,NaN,NaN,NaN
100,1.01,1.20,1.82,NaN,NaN,NaN
100.5,1.09,1.27,1.76,NaN,NaN,NaN
101,1.13,1.36,1.74,NaN,NaN,NaN
101.5,1.13,1.46,1.72,NaN,NaN,NaN
102,1.13,1.48,1.68,NaN,NaN,NaN
102.5,1.12,1.52,1.63,NaN,NaN,NaN
103,1.17,1.56,1.60,NaN,NaN,NaN
103.5,1.24,1.58,1.54,NaN,NaN,NaN
104,1.25,1.56,1.52,NaN,NaN,NaN
104.5,1.22,1.58,1.48,NaN,NaN,NaN
105,1.18,1.58,1.43,NaN,NaN,NaN
105.5,1.12,1.57,1.40,NaN,NaN,NaN
106,1.09,1.56,1.36,NaN,NaN,NaN
106.5,1.08,1.61,1.34,NaN,NaN,NaN
107,1.05,1.62,1.32,NaN,NaN,NaN
107.5,0.98,1.67,1.28,NaN,NaN,NaN
108,0.90,1.73,1.23,NaN,NaN,NaN
108.5,0.87,1.78,1.18,NaN,NaN,NaN
109,0.80,1.83,1.18,NaN,NaN,NaN
109.5,0.75,1.83,1.16,NaN,NaN,NaN
110,0.72,1.83,1.19,NaN,NaN,NaN
110.5,0.70,1.84,1.20,NaN,NaN,NaN
111,0.64,1.82,1.25,NaN,NaN,NaN
111.5,0.62,1.81,1.26,NaN,NaN,NaN
112,0.54,1.80,1.32,NaN,NaN,NaN
112.5,0.42,1.81,1.38,NaN,NaN,NaN
113,0.34,1.80,1.42,NaN,NaN,NaN
113.5,0.32,1.79,1.45,NaN,NaN,NaN
114,0.26,1.77,1.44,NaN,NaN,NaN
114.5,0.17,1.75,1.42,NaN,NaN,NaN
115,0.12,1.73,1.42,NaN,NaN,NaN
115.5,0.11,1.74,1.42,NaN,NaN,NaN
116,0.04,1.75,1.42,NaN,NaN,NaN
116.5,0.02,1.76,1.43,NaN,NaN,NaN
117,0.01,1.78,1.44,NaN,NaN,NaN
117.5,0.02,1.79,1.43,NaN,NaN,NaN
118,0.04,1.81,1.44,NaN,NaN,NaN
118.5,0.07,1.83,1.44,NaN,NaN,NaN
119,0.09,1.82,1.45,NaN,NaN,NaN
119.5,0.07,1.83,1.45,NaN,NaN,NaN
120,0.02,1.82,1.44,NaN,NaN,NaN
120.5,NaN,1.82,1.45,NaN,NaN,NaN
121,NaN,1.81,1.46,NaN,NaN,NaN
121.5,NaN,1.81,1.44,NaN,NaN,NaN
122,NaN,1.81,1.42,NaN,NaN,NaN
122.5,NaN,1.84,1.42,NaN,NaN,NaN
123,NaN,1.90,1.44,NaN,NaN,NaN
123.5,NaN,1.97,1.43,NaN,NaN,NaN
124,NaN,2.00,1.45,NaN,NaN,NaN
124.5,NaN,1.99,1.47,NaN,NaN,NaN
125,NaN,1.99,1.49,NaN,NaN,NaN
125.5,NaN,1.98,1.50,NaN,NaN,NaN
126,NaN,1.92,1.53,NaN,NaN,NaN
126.5,NaN,1.86,1.55,NaN,NaN,NaN
127,NaN,1.84,1.58,NaN,NaN,NaN
127.5,NaN,1.87,1.60,NaN,NaN,NaN
128,NaN,1.88,1.63,NaN,NaN,NaN
128.5,NaN,1.88,1.64,NaN,NaN,NaN
129,NaN,1.90,1.64,NaN,NaN,NaN
129.5,NaN,1.89,1.64,NaN,NaN,NaN
130,0.01,1.87,1.62,NaN,NaN,NaN
130.5,0.09,1.82,1.61,NaN,NaN,NaN
131,0.12,1.77,1.60,NaN,NaN,NaN
131.5,0.18,1.71,1.60,NaN,NaN,NaN
132,0.21,1.68,1.58,NaN,NaN,NaN
132.5,0.28,1.59,1.60,NaN,NaN,NaN
133,0.34,1.49,1.60,NaN,NaN,NaN
133.5,0.38,1.43,1.62,NaN,NaN,NaN
134,0.39,1.41,1.62,NaN,NaN,NaN
134.5,0.39,1.41,1.63,NaN,NaN,NaN
135,0.41,1.43,1.64,NaN,NaN,NaN
135.5,0.42,1.37,1.64,NaN,NaN,NaN
136,0.45,1.34,1.63,NaN,NaN,NaN
136.5,0.46,1.33,1.62,NaN,NaN,NaN
137,0.47,1.33,1.62,NaN,NaN,NaN
137.5,0.47,1.38,1.60,NaN,NaN,NaN
138,0.49,1.40,1.61,NaN,NaN,NaN
138.5,0.48,1.43,1.61,NaN,NaN,NaN
139,0.47,1.43,1.59,NaN,NaN,NaN
139.5,0.46,1.44,1.58,NaN,NaN,NaN
140,0.44,1.40,1.61,NaN,NaN,NaN
140.5,0.43,1.39,1.60,NaN,NaN,NaN
141,0.45,1.34,1.59,NaN,NaN,NaN
141.5,0.45,1.27,1.62,NaN,NaN,NaN
142,0.46,1.23,1.62,NaN,NaN,NaN
142.5,0.47,1.20,1.60,NaN,NaN,NaN
143,0.45,1.17,1.58,NaN,NaN,NaN
143.5,0.44,1.14,1.58,NaN,NaN,NaN
144,0.43,1.09,1.57,NaN,NaN,NaN
144.5,0.42,1.03,1.57,NaN,NaN,NaN
145,0.40,0.95,1.55,NaN,NaN,NaN
145.5,0.37,0.93,1.54,NaN,NaN,NaN
146,0.35,0.87,1.54,NaN,NaN,NaN
146.5,0.36,0.83,1.53,NaN,NaN,NaN
147,0.37,0.78,1.53,NaN,NaN,NaN
147.5,0.41,0.78,1.53,NaN,NaN,NaN
148,0.44,0.76,1.50,NaN,NaN,NaN
148.5,0.47,0.73,1.48,NaN,NaN,NaN
149,0.50,0.74,1.45,NaN,NaN,NaN
149.5,0.50,0.74,1.40,NaN,NaN,NaN
150,0.59,0.77,1.38,NaN,NaN,NaN
150.5,0.69,0.79,1.37,NaN,NaN,NaN
151,0.76,0.84,1.36,NaN,NaN,NaN
151.5,0.81,0.87,1.35,NaN,NaN,NaN
152,0.81,0.93,1.33,NaN,NaN,NaN
152.5,0.83,0.96,1.34,NaN,NaN,NaN
153,0.84,0.96,1.33,NaN,NaN,NaN
153.5,0.87,0.98,1.32,NaN,NaN,NaN
154,0.91,0.98,1.31,NaN,NaN,NaN
154.5,0.91,1.02,1.32,NaN,NaN,NaN
155,0.92,1.04,1.34,NaN,NaN,NaN
155.5,0.95,1.05,1.37,NaN,NaN,NaN
156,0.93,1.02,1.37,NaN,NaN,NaN
156.5,0.89,1.00,1.38,NaN,NaN,NaN
157,0.86,0.99,1.40,NaN,NaN,NaN
157.5,0.82,0.98,1.41,NaN,NaN,NaN
158,0.77,0.99,1.44,NaN,NaN,NaN
158.5,0.72,1.02,1.45,NaN,NaN,NaN
159,0.67,1.03,1.46,NaN,NaN,NaN
159.5,0.67,1.06,1.45,NaN,NaN,NaN
160,0.62,1.10,1.42,NaN,NaN,NaN
160.5,0.55,1.12,1.41,NaN,NaN,NaN
161,0.48,1.13,1.42,NaN,NaN,NaN
161.5,0.40,1.18,1.42,NaN,NaN,NaN
162,0.38,1.22,1.41,NaN,NaN,NaN
162.5,0.30,1.24,1.41,NaN,NaN,NaN
163,0.26,1.27,1.43,NaN,NaN,NaN
163.5,0.19,1.29,1.41,NaN,NaN,NaN
164,0.14,1.35,1.41,NaN,NaN,NaN
164.5,0.13,1.41,1.43,NaN,NaN,NaN
165,0.11,1.44,1.44,NaN,NaN,NaN
165.5,0.09,1.46,1.45,NaN,NaN,NaN
166,0.08,1.53,1.45,NaN,NaN,NaN
166.5,0.11,1.56,1.46,NaN,NaN,NaN
167,0.11,1.59,1.51,NaN,NaN,NaN
167.5,0.17,1.61,1.52,NaN,NaN,NaN
168,0.21,1.60,1.54,NaN,NaN,NaN
168.5,0.25,1.60,1.56,NaN,NaN,NaN
169,0.31,1.61,1.58,NaN,NaN,NaN
169.5,0.34,1.62,1.60,NaN,NaN,NaN
170,0.39,1.61,1.61,NaN,NaN,NaN
170.5,0.42,1.61,1.63,NaN,NaN,NaN
171,0.46,1.60,1.66,NaN,NaN,NaN
171.5,0.47,1.58,1.66,NaN,NaN,NaN
172,0.47,1.56,1.65,NaN,NaN,NaN
172.5,0.50,1.53,1.64,NaN,NaN,NaN
173,0.49,1.52,1.63,NaN,NaN,NaN
173.5,0.50,1.49,1.66,NaN,NaN,NaN
174,0.51,1.48,1.64,NaN,NaN,NaN
174.5,0.52,1.45,1.60,NaN,NaN,NaN
175,0.54,1.43,1.61,NaN,NaN,NaN
175.5,0.57,1.42,1.59,NaN,NaN,NaN
176,0.58,1.41,1.57,NaN,NaN,NaN
176.5,0.59,1.39,1.54,NaN,NaN,NaN
177,0.61,1.38,1.52,NaN,NaN,NaN
177.5,0.59,1.37,1.51,NaN,NaN,NaN
178,0.56,1.37,1.48,NaN,NaN,NaN
178.5,0.56,1.36,1.47,NaN,NaN,NaN
179,0.58,1.36,1.45,NaN,NaN,NaN
179.5,0.58,1.36,1.45,NaN,NaN,NaN
180,0.59,1.33,1.44,NaN,NaN,NaN
180.5,0.61,1.31,1.44,NaN,NaN,NaN
181,0.61,1.31,1.45,NaN,NaN,NaN
181.5,0.63,1.32,1.44,NaN,NaN,NaN
182,0.64,1.33,1.43,NaN,NaN,NaN
182.5,0.61,1.35,1.43,NaN,NaN,NaN
183,0.60,1.36,1.44,NaN,NaN,NaN
183.5,0.57,1.39,1.46,NaN,NaN,NaN
184,0.56,1.41,1.46,NaN,NaN,NaN
184.5,0.56,1.44,1.45,NaN,NaN,NaN
185,0.54,1.45,1.44,NaN,NaN,NaN
185.5,0.51,1.47,1.41,NaN,NaN,NaN
186,0.47,1.49,1.41,NaN,NaN,NaN
186.5,0.46,1.49,1.42,NaN,NaN,NaN
187,0.43,1.49,1.42,NaN,NaN,NaN
187.5,0.38,1.49,1.43,NaN,NaN,NaN
188,0.36,1.49,1.45,NaN,NaN,NaN
188.5,0.32,1.46,1.47,NaN,NaN,NaN
189,0.31,1.44,1.48,NaN,NaN,NaN
189.5,0.31,1.39,1.48,NaN,NaN,NaN
190,0.29,1.38,1.48,NaN,NaN,NaN
190.5,0.28,1.34,1.49,NaN,NaN,NaN
191,0.31,1.31,1.47,NaN,NaN,NaN
191.5,0.34,1.24,1.46,NaN,NaN,NaN
192,0.36,1.20,1.46,NaN,NaN,NaN
192.5,0.41,1.18,1.44,NaN,NaN,NaN
193,0.45,1.17,1.46,NaN,NaN,NaN
193.5,0.46,1.17,1.45,NaN,NaN,NaN
194,0.46,1.20,1.45,NaN,NaN,NaN
194.5,0.45,1.20,1.45,NaN,NaN,NaN
195,0.45,1.20,1.46,NaN,NaN,NaN
195.5,0.43,1.22,1.45,NaN,NaN,NaN
196,0.43,1.24,1.42,NaN,NaN,NaN
196.5,NaN,1.23,1.43,NaN,NaN,NaN
197,NaN,1.20,1.42,NaN,NaN,NaN
197.5,NaN,1.18,1.40,NaN,NaN,NaN
198,NaN,1.11,1.40,NaN,NaN,NaN
198.5,NaN,1.00,1.39,NaN,NaN,NaN
199,NaN,0.93,1.40,NaN,NaN,NaN
199.5,NaN,0.85,1.38,NaN,NaN,NaN
200,NaN,0.81,1.36,NaN,NaN,NaN
200.5,NaN,0.74,1.35,NaN,NaN,NaN
201,NaN,0.69,1.34,NaN,NaN,NaN
201.5,NaN,0.67,1.32,NaN,NaN,NaN
202,NaN,0.68,1.33,NaN,NaN,NaN
202.5,NaN,0.69,1.32,NaN,NaN,NaN
203,NaN,0.68,1.31,NaN,NaN,NaN
203.5,NaN,0.70,1.27,NaN,NaN,NaN
204,NaN,0.72,1.24,NaN,NaN,NaN
204.5,NaN,0.74,1.23,NaN,NaN,NaN
205,NaN,0.77,1.23,NaN,NaN,NaN
205.5,NaN,0.81,1.22,NaN,NaN,NaN
206,NaN,0.85,1.22,NaN,NaN,NaN
206.5,NaN,0.89,1.21,NaN,NaN,NaN
207,NaN,0.91,1.20,NaN,NaN,NaN
207.5,NaN,0.92,1.21,NaN,NaN,NaN
208,NaN,0.92,1.23,NaN,NaN,NaN
208.5,NaN,0.89,1.27,NaN,NaN,NaN
209,NaN,0.87,1.30,NaN,NaN,NaN
209.5,NaN,0.83,1.32,NaN,NaN,NaN
210,NaN,0.81,1.36,NaN,NaN,NaN
210.5,NaN,0.74,1.42,NaN,NaN,NaN
211,NaN,0.66,1.46,NaN,NaN,NaN
211.5,NaN,0.58,1.52,NaN,NaN,NaN
212,NaN,0.50,1.53,NaN,NaN,NaN
212.5,NaN,0.46,1.56,NaN,NaN,NaN
213,NaN,0.39,1.62,NaN,NaN,NaN
213.5,NaN,0.31,1.66,NaN,NaN,NaN
214,NaN,0.22,1.69,NaN,NaN,NaN
214.5,NaN,0.14,1.69,NaN,NaN,NaN
215,NaN,0.11,1.72,NaN,NaN,NaN
215.5,NaN,0.07,1.77,NaN,NaN,NaN
216,NaN,0.04,1.77,NaN,NaN,NaN
216.5,NaN,0.00,1.77,NaN,NaN,NaN
217,NaN,NaN,1.79,NaN,NaN,NaN
217.5,NaN,NaN,1.79,NaN,NaN,NaN
218,NaN,NaN,1.79,NaN,NaN,NaN
218.5,NaN,NaN,1.80,NaN,NaN,NaN
219,NaN,NaN,1.78,NaN,NaN,NaN
219.5,NaN,NaN,1.77,NaN,NaN,NaN
220,NaN,NaN,1.75,NaN,NaN,NaN
220.5,NaN,NaN,1.71,NaN,NaN,NaN
221,NaN,NaN,1.68,NaN,NaN,NaN
221.5,NaN,NaN,1.64,NaN,NaN,NaN
222,NaN,NaN,1.61,NaN,NaN,NaN
222.5,NaN,NaN,1.55,NaN,NaN,NaN
223,NaN,NaN,1.51,NaN,NaN,NaN
223.5,NaN,NaN,1.46,NaN,NaN,NaN
224,NaN,NaN,1.42,NaN,NaN,NaN
224.5,NaN,NaN,1.40,NaN,NaN,NaN
225,NaN,0.00,1.36,NaN,NaN,NaN
225.5,NaN,0.13,1.31,NaN,NaN,NaN
226,NaN,0.19,1.26,NaN,NaN,NaN
226.5,NaN,0.32,1.23,NaN,NaN,NaN
227,NaN,0.46,1.19,NaN,NaN,NaN
227.5,NaN,0.56,1.17,NaN,NaN,NaN
228,NaN,0.66,1.13,NaN,NaN,NaN
228.5,NaN,0.70,1.09,NaN,NaN,NaN
229,NaN,0.75,1.04,NaN,NaN,NaN
229.5,NaN,0.80,1.02,NaN,NaN,NaN
230,NaN,0.81,0.97,NaN,NaN,NaN
230.5,NaN,0.79,0.94,NaN,NaN,NaN
231,NaN,0.78,0.90,NaN,NaN,NaN
231.5,NaN,0.76,0.88,NaN,NaN,NaN
232,NaN,0.74,0.87,NaN,NaN,NaN
232.5,NaN,0.68,0.88,NaN,NaN,NaN
233,NaN,0.63,0.87,NaN,NaN,NaN
233.5,NaN,0.61,0.86,NaN,NaN,NaN
234,NaN,0.59,0.87,NaN,NaN,NaN
234.5,NaN,0.58,0.88,NaN,NaN,NaN
235,NaN,0.59,0.87,NaN,NaN,NaN
235.5,NaN,0.58,0.87,NaN,NaN,NaN
236,NaN,0.59,0.85,NaN,NaN,NaN
236.5,NaN,0.58,0.83,NaN,NaN,NaN
237,NaN,0.59,0.83,NaN,NaN,NaN
237.5,NaN,0.63,0.83,NaN,NaN,NaN
238,NaN,0.64,0.87,NaN,NaN,NaN
238.5,NaN,0.64,0.91,NaN,NaN,NaN
239,NaN,0.61,0.93,NaN,NaN,NaN
239.5,NaN,0.54,0.94,NaN,NaN,NaN
240,NaN,0.47,1.00,NaN,NaN,NaN
240.5,NaN,0.40,1.07,NaN,NaN,NaN
241,NaN,0.38,1.09,NaN,NaN,NaN
241.5,NaN,0.34,1.12,NaN,NaN,NaN
242,NaN,0.31,1.13,NaN,NaN,NaN
242.5,NaN,0.29,1.14,NaN,NaN,NaN
243,NaN,0.28,1.18,NaN,NaN,NaN
243.5,NaN,0.29,1.22,NaN,NaN,NaN
244,NaN,0.34,1.25,NaN,NaN,NaN
244.5,NaN,0.40,1.32,NaN,NaN,NaN
245,NaN,0.47,1.37,NaN,NaN,NaN
245.5,NaN,0.48,1.41,NaN,NaN,NaN
246,NaN,0.50,1.46,NaN,NaN,NaN
246.5,NaN,0.50,1.48,NaN,NaN,NaN
247,NaN,0.46,1.51,NaN,NaN,NaN
247.5,NaN,0.41,1.56,NaN,NaN,NaN
248,NaN,0.40,1.59,NaN,NaN,NaN
248.5,NaN,0.35,1.63,NaN,NaN,NaN
249,NaN,0.31,1.68,NaN,NaN,NaN
249.5,NaN,0.29,1.74,NaN,NaN,NaN
250,NaN,0.30,1.81,NaN,NaN,NaN
250.5,NaN,0.30,1.86,NaN,NaN,NaN
251,NaN,0.31,1.90,NaN,NaN,NaN
251.5,NaN,0.32,1.91,NaN,NaN,NaN
252,NaN,0.35,1.91,NaN,NaN,NaN
252.5,NaN,0.38,1.89,NaN,NaN,NaN
253,NaN,0.40,1.83,NaN,NaN,NaN
253.5,NaN,0.43,1.81,NaN,NaN,NaN
254,NaN,0.46,1.80,NaN,NaN,NaN
254.5,NaN,0.51,1.77,NaN,NaN,NaN
255,NaN,0.55,1.74,NaN,NaN,NaN
255.5,NaN,0.58,1.72,NaN,NaN,NaN
256,NaN,0.63,1.67,NaN,NaN,NaN
