secs,4 15:30+3&gt;2,4 15:34+0&gt;2
0.5,NaN,1.49
1,1.12,1.52
1.5,1.08,1.66
2,1.24,1.67
2.5,1.29,1.71
3,1.32,1.68
3.5,1.38,1.69
4,1.40,1.65
4.5,1.43,1.65
5,1.44,1.60
5.5,1.43,1.56
6,1.47,1.51
6.5,1.62,1.51
7,1.82,1.51
7.5,2.01,1.49
8,2.10,1.50
8.5,2.14,1.53
9,2.16,1.57
9.5,2.11,1.58
10,2.10,1.53
10.5,2.07,1.50
11,2.02,1.50
11.5,2.03,1.49
12,2.00,1.47
12.5,1.97,1.46
13,1.94,1.41
13.5,1.88,1.39
14,1.85,1.37
14.5,1.78,1.35
15,1.75,1.37
15.5,1.73,1.36
16,1.73,1.29
16.5,1.67,1.26
17,1.64,1.28
17.5,1.62,1.30
18,1.62,1.32
18.5,1.61,1.40
19,1.63,1.46
19.5,1.62,1.45
20,1.63,1.45
20.5,1.65,1.47
21,1.67,1.45
21.5,1.69,1.46
22,1.70,1.46
22.5,1.77,1.44
23,1.84,1.42
23.5,1.90,1.38
24,1.95,1.37
24.5,1.99,1.32
25,2.00,1.33
25.5,2.01,1.32
26,2.03,1.28
26.5,2.00,1.25
27,1.98,1.22
27.5,1.96,1.22
28,1.95,1.19
28.5,1.95,1.19
29,1.92,1.20
29.5,1.93,1.14
30,1.92,0.80
30.5,1.96,0.62
31,2.02,0.23
31.5,2.01,NaN
32,2.02,NaN
32.5,2.04,NaN
33,2.04,NaN
33.5,2.10,NaN
34,2.06,NaN
34.5,2.04,NaN
35,2.03,NaN
35.5,2.04,NaN
36,2.02,NaN
36.5,2.01,NaN
37,1.98,NaN
37.5,1.94,NaN
38,1.93,NaN
38.5,1.88,NaN
39,1.81,NaN
39.5,1.77,NaN
40,1.73,NaN
40.5,1.69,NaN
41,1.66,NaN
41.5,1.63,NaN
42,1.60,NaN
42.5,1.56,NaN
43,1.51,NaN
43.5,1.50,NaN
44,1.46,NaN
44.5,1.42,NaN
45,1.41,NaN
45.5,1.39,NaN
46,1.38,NaN
46.5,1.40,NaN
47,1.39,NaN
47.5,1.45,NaN
48,1.44,NaN
48.5,1.46,NaN
49,1.49,NaN
49.5,1.58,NaN
50,1.63,NaN
50.5,1.64,NaN
51,1.72,NaN
51.5,1.74,NaN
52,1.76,NaN
52.5,1.77,NaN
53,1.83,NaN
53.5,1.81,NaN
54,1.81,NaN
54.5,1.79,NaN
55,1.80,NaN
55.5,1.77,NaN
56,1.76,NaN
56.5,1.78,NaN
57,1.79,NaN
57.5,1.80,NaN
58,1.80,NaN
58.5,1.83,NaN
59,1.85,NaN
59.5,1.88,NaN
60,1.91,NaN
60.5,1.88,NaN
61,1.89,NaN
61.5,1.87,NaN
62,1.84,NaN
62.5,1.79,NaN
63,1.77,NaN
63.5,1.73,NaN
64,1.70,NaN
64.5,1.67,NaN
65,1.64,NaN
65.5,1.61,NaN
66,1.62,NaN
66.5,1.62,NaN
67,1.59,NaN
67.5,1.55,NaN
68,1.53,NaN
68.5,1.51,NaN
69,1.50,NaN
69.5,1.46,NaN
70,1.45,NaN
70.5,1.42,NaN
71,1.39,NaN
71.5,1.43,NaN
72,1.43,NaN
72.5,1.40,NaN
73,1.43,NaN
73.5,1.44,NaN
74,1.39,NaN
74.5,1.36,NaN
75,1.36,NaN
75.5,1.40,NaN
76,1.50,NaN
76.5,1.51,NaN
77,1.52,NaN
77.5,1.61,NaN
78,1.65,NaN
78.5,1.66,NaN
79,1.67,NaN
79.5,1.71,NaN
80,1.68,NaN
80.5,1.71,NaN
81,1.74,NaN
81.5,1.76,NaN
82,1.78,NaN
82.5,1.81,NaN
83,1.85,NaN
83.5,1.88,NaN
84,1.90,NaN
84.5,1.91,NaN
85,1.97,NaN
85.5,1.98,NaN
86,2.00,NaN
86.5,2.01,NaN
87,2.01,NaN
87.5,2.00,NaN
88,1.99,NaN
88.5,1.95,NaN
89,1.98,NaN
89.5,1.96,NaN
90,1.98,NaN
90.5,1.98,NaN
91,1.96,NaN
91.5,1.97,NaN
92,1.94,NaN
92.5,1.88,NaN
93,1.88,NaN
93.5,1.86,NaN
94,1.82,NaN
94.5,1.76,NaN
95,1.74,NaN
95.5,1.71,NaN
96,1.72,NaN
96.5,1.73,NaN
97,1.70,NaN
97.5,1.66,NaN
98,1.65,NaN
98.5,1.67,NaN
99,1.68,NaN
99.5,1.66,NaN
100,1.67,NaN
100.5,1.68,NaN
101,1.69,NaN
101.5,1.71,NaN
102,1.71,NaN
102.5,1.70,NaN
103,1.67,NaN
103.5,1.67,NaN
104,1.65,NaN
104.5,1.63,NaN
105,1.66,NaN
105.5,1.63,NaN
106,1.66,NaN
106.5,1.66,NaN
107,1.74,NaN
107.5,1.82,NaN
108,1.88,NaN
108.5,1.93,NaN
109,1.94,NaN
109.5,1.94,NaN
110,1.94,NaN
110.5,1.97,NaN
111,1.97,NaN
111.5,1.96,NaN
112,1.95,NaN
112.5,1.96,NaN
113,1.98,NaN
113.5,2.03,NaN
114,2.03,NaN
114.5,2.07,NaN
115,2.07,NaN
115.5,2.06,NaN
116,2.07,NaN
116.5,2.10,NaN
117,2.16,NaN
117.5,2.15,NaN
118,2.11,NaN
118.5,2.12,NaN
119,2.09,NaN
119.5,2.04,NaN
120,2.00,NaN
120.5,2.00,NaN
121,1.97,NaN
121.5,1.95,NaN
122,1.93,NaN
122.5,1.94,NaN
123,1.93,NaN
123.5,1.94,NaN
124,1.98,NaN
124.5,1.92,NaN
125,1.92,NaN
125.5,1.93,NaN
126,1.91,NaN
126.5,1.88,NaN
127,1.85,NaN
127.5,1.83,NaN
128,1.83,NaN
128.5,1.87,NaN
129,1.89,NaN
129.5,1.90,NaN
130,1.86,NaN
130.5,1.84,NaN
131,1.84,NaN
131.5,1.80,NaN
132,1.76,NaN
132.5,1.73,NaN
133,1.75,NaN
133.5,1.73,NaN
134,1.79,NaN
134.5,1.78,NaN
135,1.76,NaN
135.5,1.76,NaN
136,1.76,NaN
136.5,1.74,NaN
137,1.78,NaN
137.5,1.83,NaN
138,1.85,NaN
138.5,1.82,NaN
139,1.87,NaN
139.5,1.89,NaN
140,1.85,NaN
140.5,1.85,NaN
141,1.92,NaN
141.5,1.93,NaN
142,1.93,NaN
142.5,1.90,NaN
143,1.90,NaN
143.5,1.94,NaN
144,1.97,NaN
144.5,1.97,NaN
145,1.93,NaN
145.5,1.91,NaN
146,1.88,NaN
146.5,1.83,NaN
147,1.80,NaN
147.5,1.79,NaN
148,1.79,NaN
148.5,1.77,NaN
149,1.72,NaN
149.5,1.71,NaN
150,1.72,NaN
150.5,1.71,NaN
151,1.73,NaN
151.5,1.69,NaN
152,1.70,NaN
152.5,1.68,NaN
153,1.68,NaN
153.5,1.69,NaN
154,1.71,NaN
154.5,1.71,NaN
155,1.70,NaN
155.5,1.73,NaN
156,1.70,NaN
156.5,1.69,NaN
157,1.65,NaN
157.5,1.66,NaN
158,1.65,NaN
158.5,1.68,NaN
159,1.71,NaN
159.5,1.70,NaN
160,1.71,NaN
160.5,1.67,NaN
161,1.67,NaN
161.5,1.68,NaN
162,1.65,NaN
162.5,1.62,NaN
163,1.64,NaN
163.5,1.64,NaN
164,1.61,NaN
164.5,1.61,NaN
165,1.61,NaN
165.5,1.60,NaN
166,1.63,NaN
166.5,1.61,NaN
167,1.59,NaN
167.5,1.59,NaN
168,1.70,NaN
168.5,1.69,NaN
169,1.60,NaN
169.5,1.58,NaN
170,1.54,NaN
170.5,1.51,NaN
171,1.51,NaN
171.5,1.48,NaN
172,1.46,NaN
172.5,1.51,NaN
173,1.49,NaN
173.5,1.65,NaN
174,1.69,NaN
174.5,1.72,NaN
175,1.70,NaN
175.5,1.70,NaN
176,1.69,NaN
176.5,1.71,NaN
177,1.75,NaN
177.5,1.75,NaN
178,1.69,NaN
178.5,1.83,NaN
179,1.83,NaN
179.5,1.85,NaN
180,1.91,NaN
180.5,1.95,NaN
181,1.96,NaN
181.5,1.98,NaN
182,1.96,NaN
182.5,1.97,NaN
183,1.98,NaN
